teams,disposals,round,Player,odds,home,away
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,james worpel,1.77,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,conor nash,2.08,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,jai newcombe,2.55,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,jack scrimshaw,3.10,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,karl amon,3.50,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,josh weddle,3.60,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,blake hardwick,3.80,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,seamus mitchell,3.80,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,josh ward,3.90,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,dylan moore,4.10,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,connor macdonald,6.25,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,chad wingard,11.50,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,tom green,1.68,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,josh kelly,1.88,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,stephen coniglio,2.35,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,lachie whitfield,3.20,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,harry himmelberg,4.90,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,lachie ash,6.00,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,callan ward,7.75,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,finn callaghan,7.75,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,isaac cumming,23.00,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,toby greene,23.00,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,will day,2.80,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,james worpel,3.05,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,jarman impey,3.45,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,conor nash,4.60,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,jack scrimshaw,6.00,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,jai newcombe,6.00,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,josh weddle,7.25,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,josh ward,10.00,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,blake hardwick,10.50,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,karl amon,10.50,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,seamus mitchell,10.50,GWS,HAW
greater-western-sydney v hawthorn,To Get 30 or More Disposals,R17,dylan moore,12.50,GWS,HAW
st-kilda v melbourne,To Get 15 or More Disposals,R17,jack steele,1.09,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,mason wood,1.10,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,nasiah wanganeen-milera,1.11,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,rowan marshall,1.17,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,zak jones,1.17,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,jack billings,1.19,STK,MEL
