Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Rosas, Malcolm",R4,goldcoast,SK,11.0,4.0,7.0,1.0,0.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,65,-,2.0,1.0,0.0
"Rowell, Matt",R4,goldcoast,SK,12.0,5.0,7.0,0.0,0.0,0.0,5.0,7.0,10.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,86,-,2.0,1.0,0.0
"Sexton, Alex",R4,goldcoast,SK,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,33,On,0.0,0.0,0.0
"Swallow, David",R4,goldcoast,SK,17.0,9.0,8.0,0.0,1.0,2.0,5.0,5.0,10.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,71,-,2.0,3.0,0.0
"Tsitas, James",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Uwland, Bodhi",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Weller, Lachie",R4,goldcoast,SK,30.0,24.0,6.0,0.0,0.0,8.0,1.0,1.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,88,-,5.0,1.0,2.0
"Witts, Jarrod",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Ainsworth, Ben",R5,goldcoast,FR,11.0,6.0,5.0,0.0,1.0,2.0,1.0,3.0,6.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,83,-,1.0,0.0,0.0
"Anderson, Noah",R5,goldcoast,FR,25.0,18.0,7.0,2.0,1.0,6.0,6.0,2.0,10.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,87,-,4.0,2.0,1.0
